,candidato,X01032022_01,X01032022_02,X01032022_03,X01102021_01,X01122021_01,X01122021_02,X01122021_03,X01122021_04,X01122021_05,X01122021_06,X01122021_07,X01122021_08,X01122021_09,X01122021_10,X01122021_11,X01122021_12,X01122021_13,X01122021_14,X01122021_15,X01122021_16,X01122021_17,X01122021_18,X01122021_19,X01122021_20,X01122021_21,X01122021_22,X01122021_23,X01122021_24,X01122021_25,X01122021_26,X01122021_27,X01122021_28,X01122021_29,X01122021_30,X02022022_01,X02022022_02,X02022022_03,X02022022_04,X02022022_05,X02032022_01,X02032022_02,X02032022_03,X02032022_04,X02032022_05,X02032022_06,X02032022_07,X02032022_08,X02032022_09,X02032022_10,X02032022_11,X02032022_12,X02032022_13,X02032022_14,X02032022_15,X02032022_16,X02032022_17,X02032022_18,X02032022_19,X02032022_20,X02032022_21,X02032022_22,X02032022_23,X02032022_24,X02032022_25,X02032022_26,X02032022_27,X02032022_28,X02032022_29,X02032022_30,X02032022_31,X02032022_32,X02122021_01,X02122021_02,X03032022_01,X03032022_02,X03032022_03,X03032022_04,X03032022_05,X03032022_06,X03032022_07,X03032022_08,X03032022_09,X03032022_10,X03032022_11,X03032022_12,X03032022_13,X03032022_14,X03032022_15,X03032022_16,X03032022_17,X03032022_18,X03032022_19,X03032022_20,X03032022_21,X03032022_22,X03032022_23,X03032022_24,X03032022_25,X03032022_26,X03032022_27,X03032022_28,X03032022_29,X03032022_30,X03032022_31,X03032022_32,X03032022_33,X03032022_34,X03032022_35,X03032022_36,X03032022_37,X03032022_38,X03032022_39,X03032022_40,X03082021_01,X03082021_02,X03082021_03,X03112021_01,X04032022_01,X04032022_02,X04032022_03,X04032022_04,X04032022_05,X04032022_06,X04032022_07,X04032022_08,X04032022_09,X04032022_10,X04032022_11,X04032022_12,X04032022_13,X04032022_14,X04032022_15,X04032022_16,X04032022_17,X04032022_18,X04032022_19,X04032022_20,X04032022_21,X04032022_22,X04032022_23,X04032022_24,X04032022_25,X04032022_26,X04032022_27,X04032022_28,X04032022_29,X04032022_30,X04032022_31,X04032022_32,X04032022_33,X04032022_34,X04032022_35,X04032022_36,X04032022_37,X04032022_38,X04032022_39,X04032022_40,X04032022_41,X04032022_42,X04032022_43,X04032022_44,X04032022_45,X04032022_46,X04032022_47,X04032022_48,X04032022_49,X04032022_50,X04032022_51,X04032022_52,X04032022_53,X04032022_54,X04032022_55,X04032022_56,X04032022_57,X04032022_58,X04032022_59,X04032022_60,X04032022_61,X04032022_62,X04032022_63,X04032022_64,X04032022_65,X04032022_66,X04032022_67,X04032022_68,X04032022_69,X04032022_70,X04032022_71,X04032022_72,X04032022_73,X04032022_74,X04032022_75,X04032022_76,X04032022_77,X04032022_78,X04032022_79,X04032022_80,X04032022_81,X04032022_82,X04032022_83,X04032022_84,X04032022_85,X04032022_86,X04032022_87,X04032022_88,X04032022_89,X04102021_01,X04102021_02,X04102021_03,X04102021_04,X04102021_05,X04102021_06,X04102021_07,X04102021_08,X04102021_09,X04102021_10,X04102021_11,X04102021_12,X04102021_13,X04102021_14,X04102021_15,X04102021_16,X04102021_17,X04102021_18,X04102021_19,X04102021_20,X04102021_21,X04102021_22,X04102021_23,X04102021_24,X04102021_25,X04102021_26,X04102021_27,X04102021_28,X04102021_29,X04102021_30,X04102021_31,X04102021_32,X04102021_33,X05102021_01,X05102021_02,X05102021_03,X05102021_04,X05102021_05,X05102021_06,X05102021_07,X05102021_08,X05102021_09,X05102021_10,X05102021_11,X05102021_12,X05102021_13,X05102021_14,X05102021_15,X05102021_16,X05102021_17,X05102021_18,X05102021_19,X05102021_20,X05102021_21,X05102021_22,X05102021_23,X05102021_24,X05102021_25,X05102021_26,X05102021_27,X05102021_28,X05102021_29,X05102021_30,X05102021_31,X05102021_32,X05102021_33,X05102021_34,X05102021_35,X05102021_36,X05102021_37,X05102021_38,X05102021_39,X05102021_40,X05102021_41,X05102021_42,X05102021_43,X05102021_44,X05102021_45,X05102021_46,X05102021_47,X05102021_48,X05102021_49,X05102021_50,X05102021_51,X05102021_52,X05102021_53,X05102021_54,X05102021_55,X05102021_56,X05102021_57,X05102021_58,X05102021_59,X05102021_60,X05102021_61,X06012022_01,X06012022_02,X06102021_01,X06102021_02,X06102021_03,X06102021_04,X06102021_05,X06102021_06,X06102021_07,X06102021_08,X06102021_09,X06102021_10,X06102021_11,X06102021_12,X06102021_13,X06102021_14,X06102021_15,X06102021_16,X06102021_17,X06102021_18,X06102021_19,X06102021_20,X06102021_21,X06102021_22,X06102021_23,X06102021_24,X06102021_25,X06102021_26,X06102021_27,X06102021_28,X06102021_29,X06102021_30,X06102021_31,X06102021_32,X06102021_33,X06102021_34,X06102021_35,X06102021_36,X06102021_37,X06102021_38,X06102021_39,X06102021_40,X06102021_41,X06102021_42,X06102021_43,X06102021_44,X06102021_45,X06102021_46,X06102021_47,X06102021_48,X06102021_49,X06102021_50,X06102021_51,X06102021_52,X06102021_53,X06102021_54,X06102021_55,X06102021_56,X06102021_57,X06102021_58,X06102021_59,X06102021_60,X06102021_61,X06102021_62,X06102021_63,X06102021_64,X06102021_65,X06102021_66,X06102021_67,X06102021_68,X06102021_69,X06102021_70,X06102021_71,X06102021_72,X06102021_73,X06102021_74,X06102021_75,X06102021_76,X06102021_77,X06102021_78,X06102021_79,X06102021_80,X06102021_81,X07022022_01,X07022022_02,X07022022_03,X07022022_04,X07022022_05,X07022022_06,X07022022_07,X07022022_08,X07022022_09,X07022022_10,X07022022_11,X07022022_12,X07022022_13,X07102021_01,X07102021_02,X07102021_03,X07102021_04,X07102021_05,X07102021_06,X07102021_07,X07102021_08,X07102021_09,X07102021_10,X07102021_11,X07102021_12,X07102021_13,X07102021_14,X07102021_15,X07102021_16,X07102021_17,X07102021_18,X07102021_19,X07102021_20,X07102021_21,X07102021_22,X07102021_23,X07102021_24,X07102021_25,X07102021_26,X07102021_27,X07102021_28,X07102021_29,X07102021_30,X07102021_31,X07102021_32,X07102021_33,X07102021_34,X07102021_35,X07102021_36,X07102021_37,X07102021_38,X07102021_39,X07102021_40,X07102021_41,X07102021_42,X07102021_43,X07102021_44,X07102021_45,X07102021_46,X07102021_47,X07102021_48,X07102021_49,X07102021_50,X07102021_51,X07102021_52,X07102021_53,X07102021_54,X07102021_55,X07102021_56,X07102021_57,X07102021_58,X07102021_59,X07102021_60,X07102021_61,X07102021_62,X07102021_63,X08022022_01,X08022022_02,X08022022_03,X08022022_04,X08022022_05,X09092021_01,X09122021_01,X10032022_01,X10032022_02,X10032022_03,X10032022_04,X10032022_05,X10032022_06,X10032022_07,X10032022_08,X10032022_09,X10032022_10,X10032022_11,X10032022_12,X10032022_13,X10032022_14,X10032022_15,X10032022_16,X10032022_17,X10032022_18,X10032022_19,X10032022_20,X10032022_21,X10032022_22,X10032022_23,X10032022_24,X10032022_25,X10032022_26,X10032022_27,X10032022_28,X10032022_29,X10032022_30,X10032022_31,X10032022_32,X10032022_33,X10032022_34,X10032022_35,X10032022_36,X10032022_37,X10032022_38,X10032022_39,X10032022_40,X10032022_41,X10032022_42,X10032022_43,X10032022_44,X10032022_45,X10032022_46,X10032022_47,X10032022_48,X10032022_49,X10032022_50,X10032022_51,X10082021_01,X10082021_02,X11032022_01,X11032022_02,X11032022_03,X11032022_04,X11032022_05,X11032022_06,X11032022_07,X11032022_08,X11032022_09,X11032022_10,X11032022_11,X11032022_12,X11032022_13,X11032022_14,X11032022_15,X11032022_16,X11032022_17,X11032022_18,X11032022_19,X11032022_20,X11032022_21,X11032022_22,X11032022_23,X11032022_24,X11032022_25,X11032022_26,X11032022_27,X11032022_28,X11032022_29,X11032022_30,X11032022_31,X11032022_32,X11032022_33,X11032022_34,X11032022_35,X11032022_36,X11112021_01,X12082021_01,X12082021_02,X12082021_03,X12082021_04,X12082021_05,X12082021_06,X12082021_07,X12082021_08,X12082021_09,X12082021_10,X12082021_11,X12082021_12,X12082021_13,X12082021_14,X12082021_15,X12082021_16,X12082021_17,X12082021_18,X12082021_19,X12082021_20,X12082021_21,X12082021_22,X12082021_23,X12082021_24,X12082021_25,X12082021_26,X12082021_27,X12082021_28,X12082021_29,X12082021_30,X12082021_31,X13072021_01,X13072021_02,X14072021_01,X14072021_02,X14072021_03,X14072021_04,X14072021_05,X14072021_06,X14072021_07,X14072021_08,X14072021_09,X14072021_10,X14072021_11,X14072021_12,X14072021_13,X14072021_14,X14072021_15,X14072021_16,X14072021_17,X14072021_18,X14072021_19,X14072021_20,X14072021_21,X14072021_22,X14072021_23,X14072021_24,X14072021_25,X14072021_26,X14092021_01,X14092021_02,X14092021_03,X14092021_04,X14092021_05,X14092021_06,X14092021_07,X14092021_08,X14092021_09,X14092021_10,X14092021_11,X14092021_12,X14092021_13,X14092021_14,X14092021_15,X14092021_16,X14092021_17,X14092021_18,X14092021_19,X14092021_20,X14092021_21,X14092021_22,X14092021_23,X14092021_24,X14092021_25,X14092021_26,X14092021_27,X14092021_28,X14092021_29,X14092021_30,X14092021_31,X14092021_32,X14092021_33,X14092021_34,X14092021_35,X15022022_01,X15022022_02,X15022022_03,X15022022_04,X15022022_05,X15022022_06,X15022022_07,X15022022_08,X15022022_09,X15022022_10,X15022022_11,X15022022_12,X15022022_13,X15022022_14,X15022022_15,X15022022_16,X15022022_17,X15022022_18,X15022022_19,X15032022_01,X15032022_02,X15032022_03,X15032022_04,X15032022_05,X15032022_06,X15032022_07,X15032022_08,X15032022_09,X15032022_10,X15032022_11,X15032022_12,X15032022_13,X15032022_14,X15032022_15,X15032022_16,X15032022_17,X15032022_18,X15032022_19,X15032022_20,X15032022_21,X15032022_22,X15032022_23,X15032022_24,X15032022_25,X15032022_26,X15032022_27,X15032022_28,X15032022_29,X15032022_30,X15032022_31,X15032022_32,X15032022_33,X15032022_34,X15032022_35,X15032022_36,X15032022_37,X15032022_38,X15032022_39,X15032022_40,X15032022_41,X15032022_42,X15032022_43,X15032022_44,X15032022_45,X15032022_46,X15032022_47,X15032022_48,X15032022_49,X15032022_50,X15032022_51,X15032022_52,X15032022_53,X15032022_54,X15032022_55,X15032022_56,X15032022_57,X15032022_58,X15032022_59,X15032022_60,X15032022_61,X15032022_62,X15032022_63,X15032022_64,X15032022_65,X15032022_66,X15032022_67,X15032022_68,X15032022_69,X15032022_70,X15032022_71,X15032022_72,X15032022_73,X15032022_74,X15032022_75,X15032022_76,X15032022_77,X15032022_78,X15032022_79,X15032022_80,X15032022_81,X15032022_82,X15032022_83,X15032022_84,X15032022_85,X15032022_86,X15032022_87,X15032022_88,X15032022_89,X15032022_90,X15032022_91,X15032022_92,X15072021_01,X15072021_02,X15072021_03,X15072021_04,X15072021_05,X15072021_06,X15072021_07,X15072021_08,X15072021_09,X15072021_10,X15072021_11,X15072021_12,X15072021_13,X15072021_14,X16022022_01,X16022022_02,X16022022_03,X16022022_04,X16022022_05,X16022022_06,X16022022_07,X16022022_08,X16022022_09,X16022022_10,X16022022_11,X16022022_12,X16022022_13,X16022022_14,X16022022_15,X16022022_16,X16022022_17,X16022022_18,X16022022_19,X16022022_20,X16022022_21,X16022022_22,X16022022_23,X16022022_24,X16022022_25,X16022022_26,X16022022_27,X16022022_28,X16022022_29,X16022022_30,X16022022_31,X16022022_32,X16022022_33,X16022022_34,X16022022_35,X16022022_36,X16032022_01,X16032022_02,X16032022_03,X16032022_04,X16032022_05,X16032022_06,X16032022_07,X16032022_08,X16032022_09,X16032022_10,X16032022_11,X16032022_12,X16032022_13,X16032022_14,X16032022_15,X16032022_16,X16032022_17,X16032022_18,X16032022_19,X16032022_20,X16032022_21,X16032022_22,X16032022_23,X16032022_24,X16032022_25,X16032022_26,X16032022_27,X16032022_28,X16032022_29,X16032022_30,X16032022_31,X16032022_32,X16032022_33,X16032022_34,X16032022_35,X16032022_36,X16032022_37,X16032022_38,X16032022_39,X16032022_40,X16032022_41,X16032022_42,X16032022_43,X16032022_44,X16032022_45,X16032022_46,X16032022_47,X16032022_48,X16032022_49,X16032022_50,X16032022_51,X16032022_52,X16032022_53,X16032022_54,X16032022_55,X16032022_56,X16032022_57,X16032022_58,X16032022_59,X16032022_60,X16032022_61,X16032022_62,X16032022_63,X16032022_64,X16032022_65,X16032022_66,X16032022_67,X16032022_68,X16032022_69,X16032022_70,X16032022_71,X16032022_72,X16032022_73,X16032022_74,X16032022_75,X16032022_76,X16032022_77,X16032022_78,X16032022_79,X16032022_80,X16032022_81,X16032022_82,X16032022_83,X16032022_84,X16032022_85,X16032022_86,X16032022_87,X16032022_88,X17022022_01,X17022022_02,X17022022_03,X17022022_04,X17022022_05,X17022022_06,X17022022_07,X17022022_08,X17022022_09,X17022022_10,X17022022_11,X17022022_12,X17022022_13,X17022022_14,X17022022_15,X17022022_16,X17022022_17,X17022022_18,X17022022_19,X17022022_20,X17022022_21,X17022022_22,X17022022_23,X17022022_24,X17022022_25,X17022022_26,X17022022_27,X17022022_28,X17022022_29,X17022022_30,X17022022_31,X17022022_32,X17022022_33,X17022022_34,X17022022_35,X17022022_36,X17022022_37,X17022022_38,X17022022_39,X17022022_40,X17022022_41,X17022022_42,X17032022_01,X17032022_02,X17032022_03,X17032022_04,X17032022_05,X17032022_06,X18012022_01,X18012022_02,X18012022_03,X18012022_04,X18012022_05,X18012022_06,X18012022_07,X18012022_08,X18012022_09,X18012022_10,X18012022_11,X18022022_01,X18022022_02,X18022022_03,X18022022_04,X18022022_05,X18022022_06,X18022022_07,X18022022_08,X18022022_09,X18022022_10,X18022022_100,X18022022_101,X18022022_102,X18022022_103,X18022022_104,X18022022_105,X18022022_11,X18022022_12,X18022022_13,X18022022_14,X18022022_15,X18022022_16,X18022022_17,X18022022_18,X18022022_19,X18022022_20,X18022022_21,X18022022_22,X18022022_23,X18022022_24,X18022022_25,X18022022_26,X18022022_27,X18022022_28,X18022022_29,X18022022_30,X18022022_31,X18022022_32,X18022022_33,X18022022_34,X18022022_35,X18022022_36,X18022022_37,X18022022_38,X18022022_39,X18022022_40,X18022022_41,X18022022_42,X18022022_43,X18022022_44,X18022022_45,X18022022_46,X18022022_47,X18022022_48,X18022022_49,X18022022_50,X18022022_51,X18022022_52,X18022022_53,X18022022_54,X18022022_55,X18022022_56,X18022022_57,X18022022_58
4,"Abarca, Damaris",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,1,1,NA,1,1,0,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,1,1,1,1,NA,1,1,NA,NA,0,1,0,0,1,NA,NA,NA,NA,1,0,1,1,0,NA,1,1,1,1,1,0,NA,0,0,1,1,0,NA,0,1,NA,0,NA,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,NA,1,1,1,0,0,0,1,0,0,1,1,0,0,1,0,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,NA,1,0,1,1,1,1,0,1,0,1,0,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,0,1,1,1,0,0,0,NA,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,NA,1,0,1,1,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,NA,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,0,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,0,1,1,1,0,NA,1,1,1,0,0,0,NA,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,0,0,0,NA,NA,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,1,0,1,NA,NA,1,1,NA,0,0,1,1,1,1,NA,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,NA,NA,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,NA,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,NA,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1,NA,NA,NA,1,NA,0,NA,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,0,0,1,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,0,0,1,0,0,1,0,0,0,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,1,1,0,1,0,1,0,1,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,NA,0,0,0,1,NA,0,1,NA,1,1,NA,1,NA,1,1,1,0,1,0,1,1,0,1,0,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,NA,1,0,1,1,0,1,0,1,1,0,0,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1
5,"Abarca, Jorge",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,NA,NA,1,NA,NA,NA,NA,0,1,1,1,1,1,0,0,NA,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,NA,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,NA,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,0,1,0,1,1,0,0,1,NA,1,0,1,NA,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,NA,0,1,1,0,1,1,1,0,1,0,1,1,1,0,1,1,1,0,1,0,0,1,1,1,0,1,1,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,0,1,0,0,0,0,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,1,1,NA,NA,1,1,1,0,0,0,0,1,0,1,NA,0,1,1,1,1,1,NA,1,0,1,1,1,0,1,1,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,1,NA,0,1,1,1,1,0,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,0,NA,1,0,0,1,0,1,1,1,0,1,0,1,1,1,1,NA,NA,1,1,1,NA,1,0,1,1,NA,NA,NA,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,NA,1,0,1,1,1,0,1,1,0,1,NA,1,NA,1,0,NA,1,1,1,1,1,1,1,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,NA,1,0,1,1,1,1,NA,1,1,1,1,1,1,1,NA,NA,1,0,1,0,1,1,1,1,1,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,1,0,1,1,1,1,0,1,1,1,0,1,1,0,0,1,0,0,0,0,1,1,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,NA,0,0,0,1,0,NA,NA,0,0,1,0,0,1,NA,1,NA,0,0,1,0,NA,0,1,NA,1,NA,1,0,0,NA,NA,NA,1,1,0,1,NA,0,0,0,1,0,1,0,1,0,NA,0,1,1,0,NA,NA,1,0,0,NA,NA,0,1,NA,NA,0,NA,0,NA,NA,NA,0,0,0,0,1,1,1,0,0,1,1,0,NA,0,NA,0,0,0,1,1,1,1,1,1,NA,NA,NA,NA,NA,0,NA,0,1,NA,1,1,1,1,1,1,1,1,1,NA,NA,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,1,NA,NA,0,0,1,NA,0,0,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,NA,1,NA,1,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,NA,NA,1,0,NA,0,1,1,NA,0,NA,0,0,1,NA,NA,0,1,0,0,NA,0,0,0,NA,NA,0,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,1,1,1,NA,0,1,1,0,1,0,1,0,1,NA,1,1,1,0,1,1,1,0,0,1,1,1,0,1,1,1,0,1,0,1,1,0,1,1,0,1,0,1,1,0,0,0,1,1,1,1,0,0,0,0,NA,0,1,1,0,0,1,1,1,1,1,0,1,0,0,1,1,1,NA,1,1,1,NA,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,NA,0,1,1,1,1,1,1,1,1,1,NA,1,1,0,1,1,1,1
6,"Achurra, Ignacio",1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,0,1,1,1,1,0,0,1,0,0,1,1,NA,1,1,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,1,1,1,NA,0,0,1,0,0,0,1,0,0,NA,0,0,0,0,NA,0,1,1,0,0,1,0,0,NA,1,1,0,0,0,1,1,NA,0,0,1,NA,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,0,0,1,0,1,1,0,1,0,1,1,0,1,1,0,1,1,NA,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0,1,0,1,0,1,1,NA,0,1,1,1,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,0,NA,1,1,0,0,0,0,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,1,0,NA,0,1,1,0,1,1,1,0,0,0,1,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,0,0,1,1,0,1,NA,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,1,1,1,0,0,1,NA,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,1,0,1,0,0,1,1,1,0,0,1,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,NA,NA,0,0,1,0,0,0,1,NA,1,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,NA,1,1,NA,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,NA,NA,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,0,NA,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,0,1,1,1,NA,1,0,0,1,0,0,1,0,0,0,1,1,0,1,1,1,1,1,0,1,1,NA,0,0,0,1,0,NA,1,0,1,0,1,1,1,0,1,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,1,1,0,1,NA,1,1,1,1,0,1,1,1,0,1,0,1,1,0,1,0,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,NA,1,0,1,1,0,1,0,1,1,0,0,1,1,1,1,1,0,0,0,NA,1,0,1,0,0,0,0,1,1,1,1,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1
